age,triangle,sex,region,time,count
98,Upper,Female,Avannaata kommunia,2011,0
99,Lower,Female,Avannaata kommunia,2011,0
99,Upper,Female,Avannaata kommunia,2011,0
100+,Lower,Female,Avannaata kommunia,2011,0
100+,Upper,Female,Avannaata kommunia,2011,0
0,Lower,Male,Avannaata kommunia,2011,1
0,Upper,Male,Avannaata kommunia,2011,0
1,Lower,Male,Avannaata kommunia,2011,0
1,Upper,Male,Avannaata kommunia,2011,1
2,Lower,Male,Avannaata kommunia,2011,1
2,Upper,Male,Avannaata kommunia,2011,0
3,Lower,Male,Avannaata kommunia,2011,0
3,Upper,Male,Avannaata kommunia,2011,0
4,Lower,Male,Avannaata kommunia,2011,0
4,Upper,Male,Avannaata kommunia,2011,0
5,Lower,Male,Avannaata kommunia,2011,0
5,Upper,Male,Avannaata kommunia,2011,2
6,Lower,Male,Avannaata kommunia,2011,1
6,Upper,Male,Avannaata kommunia,2011,0
7,Lower,Male,Avannaata kommunia,2011,0
7,Upper,Male,Avannaata kommunia,2011,0
8,Lower,Male,Avannaata kommunia,2011,1
8,Upper,Male,Avannaata kommunia,2011,1
9,Lower,Male,Avannaata kommunia,2011,0
9,Upper,Male,Avannaata kommunia,2011,1
10,Lower,Male,Avannaata kommunia,2011,0
10,Upper,Male,Avannaata kommunia,2011,0
11,Lower,Male,Avannaata kommunia,2011,0
11,Upper,Male,Avannaata kommunia,2011,1
12,Lower,Male,Avannaata kommunia,2011,0
12,Upper,Male,Avannaata kommunia,2011,0
13,Lower,Male,Avannaata kommunia,2011,0
13,Upper,Male,Avannaata kommunia,2011,0
14,Lower,Male,Avannaata kommunia,2011,1
14,Upper,Male,Avannaata kommunia,2011,0
15,Lower,Male,Avannaata kommunia,2011,0
15,Upper,Male,Avannaata kommunia,2011,0
16,Lower,Male,Avannaata kommunia,2011,1
16,Upper,Male,Avannaata kommunia,2011,5
17,Lower,Male,Avannaata kommunia,2011,8
17,Upper,Male,Avannaata kommunia,2011,5
18,Lower,Male,Avannaata kommunia,2011,1
18,Upper,Male,Avannaata kommunia,2011,1
19,Lower,Male,Avannaata kommunia,2011,1
19,Upper,Male,Avannaata kommunia,2011,2
20,Lower,Male,Avannaata kommunia,2011,1
20,Upper,Male,Avannaata kommunia,2011,0
21,Lower,Male,Avannaata kommunia,2011,3
21,Upper,Male,Avannaata kommunia,2011,1
22,Lower,Male,Avannaata kommunia,2011,1
22,Upper,Male,Avannaata kommunia,2011,1
23,Lower,Male,Avannaata kommunia,2011,3
23,Upper,Male,Avannaata kommunia,2011,4
24,Lower,Male,Avannaata kommunia,2011,0
24,Upper,Male,Avannaata kommunia,2011,2
25,Lower,Male,Avannaata kommunia,2011,3
25,Upper,Male,Avannaata kommunia,2011,3
26,Lower,Male,Avannaata kommunia,2011,2
26,Upper,Male,Avannaata kommunia,2011,4
27,Lower,Male,Avannaata kommunia,2011,4
27,Upper,Male,Avannaata kommunia,2011,4
28,Lower,Male,Avannaata kommunia,2011,0
28,Upper,Male,Avannaata kommunia,2011,3
29,Lower,Male,Avannaata kommunia,2011,0
29,Upper,Male,Avannaata kommunia,2011,3
30,Lower,Male,Avannaata kommunia,2011,4
30,Upper,Male,Avannaata kommunia,2011,1
31,Lower,Male,Avannaata kommunia,2011,2
31,Upper,Male,Avannaata kommunia,2011,3
32,Lower,Male,Avannaata kommunia,2011,2
32,Upper,Male,Avannaata kommunia,2011,1
33,Lower,Male,Avannaata kommunia,2011,0
33,Upper,Male,Avannaata kommunia,2011,3
34,Lower,Male,Avannaata kommunia,2011,1
34,Upper,Male,Avannaata kommunia,2011,2
35,Lower,Male,Avannaata kommunia,2011,1
35,Upper,Male,Avannaata kommunia,2011,0
36,Lower,Male,Avannaata kommunia,2011,1
36,Upper,Male,Avannaata kommunia,2011,2
37,Lower,Male,Avannaata kommunia,2011,0
37,Upper,Male,Avannaata kommunia,2011,5
38,Lower,Male,Avannaata kommunia,2011,2
38,Upper,Male,Avannaata kommunia,2011,3
39,Lower,Male,Avannaata kommunia,2011,1
39,Upper,Male,Avannaata kommunia,2011,1
40,Lower,Male,Avannaata kommunia,2011,2
40,Upper,Male,Avannaata kommunia,2011,0
41,Lower,Male,Avannaata kommunia,2011,0
41,Upper,Male,Avannaata kommunia,2011,3
42,Lower,Male,Avannaata kommunia,2011,2
42,Upper,Male,Avannaata kommunia,2011,3
