age,triangle,sex,region,time,count
93,Lower,Female,d. Avannaata kommunia,2011,0
93,Upper,Female,d. Avannaata kommunia,2011,0
94,Lower,Female,d. Avannaata kommunia,2011,0
94,Upper,Female,d. Avannaata kommunia,2011,0
95,Lower,Female,d. Avannaata kommunia,2011,0
95,Upper,Female,d. Avannaata kommunia,2011,0
96,Lower,Female,d. Avannaata kommunia,2011,0
96,Upper,Female,d. Avannaata kommunia,2011,0
97,Lower,Female,d. Avannaata kommunia,2011,0
97,Upper,Female,d. Avannaata kommunia,2011,0
98,Lower,Female,d. Avannaata kommunia,2011,0
98,Upper,Female,d. Avannaata kommunia,2011,0
99,Lower,Female,d. Avannaata kommunia,2011,0
99,Upper,Female,d. Avannaata kommunia,2011,0
100+,Lower,Female,d. Avannaata kommunia,2011,0
100+,Upper,Female,d. Avannaata kommunia,2011,0
0,Lower,Male,d. Avannaata kommunia,2011,0
0,Upper,Male,d. Avannaata kommunia,2011,0
1,Lower,Male,d. Avannaata kommunia,2011,0
1,Upper,Male,d. Avannaata kommunia,2011,0
2,Lower,Male,d. Avannaata kommunia,2011,0
2,Upper,Male,d. Avannaata kommunia,2011,0
3,Lower,Male,d. Avannaata kommunia,2011,0
3,Upper,Male,d. Avannaata kommunia,2011,0
4,Lower,Male,d. Avannaata kommunia,2011,0
4,Upper,Male,d. Avannaata kommunia,2011,0
5,Lower,Male,d. Avannaata kommunia,2011,0
5,Upper,Male,d. Avannaata kommunia,2011,0
6,Lower,Male,d. Avannaata kommunia,2011,0
6,Upper,Male,d. Avannaata kommunia,2011,0
7,Lower,Male,d. Avannaata kommunia,2011,0
7,Upper,Male,d. Avannaata kommunia,2011,0
8,Lower,Male,d. Avannaata kommunia,2011,0
8,Upper,Male,d. Avannaata kommunia,2011,0
9,Lower,Male,d. Avannaata kommunia,2011,0
9,Upper,Male,d. Avannaata kommunia,2011,0
10,Lower,Male,d. Avannaata kommunia,2011,0
10,Upper,Male,d. Avannaata kommunia,2011,0
