age,triangle,sex,region,time,direction,count
82,Upper,Female,d. Avannaata kommunia,2011,In,0
83,Lower,Female,d. Avannaata kommunia,2011,In,0
83,Upper,Female,d. Avannaata kommunia,2011,In,0
84,Lower,Female,d. Avannaata kommunia,2011,In,0
84,Upper,Female,d. Avannaata kommunia,2011,In,0
85,Lower,Female,d. Avannaata kommunia,2011,In,0
85,Upper,Female,d. Avannaata kommunia,2011,In,0
86,Lower,Female,d. Avannaata kommunia,2011,In,0
86,Upper,Female,d. Avannaata kommunia,2011,In,0
87,Lower,Female,d. Avannaata kommunia,2011,In,0
87,Upper,Female,d. Avannaata kommunia,2011,In,0
88,Lower,Female,d. Avannaata kommunia,2011,In,0
88,Upper,Female,d. Avannaata kommunia,2011,In,0
89,Lower,Female,d. Avannaata kommunia,2011,In,0
89,Upper,Female,d. Avannaata kommunia,2011,In,0
90,Lower,Female,d. Avannaata kommunia,2011,In,0
90,Upper,Female,d. Avannaata kommunia,2011,In,0
91,Lower,Female,d. Avannaata kommunia,2011,In,0
91,Upper,Female,d. Avannaata kommunia,2011,In,0
92,Lower,Female,d. Avannaata kommunia,2011,In,0
92,Upper,Female,d. Avannaata kommunia,2011,In,0
93,Lower,Female,d. Avannaata kommunia,2011,In,0
93,Upper,Female,d. Avannaata kommunia,2011,In,0
94,Lower,Female,d. Avannaata kommunia,2011,In,0
94,Upper,Female,d. Avannaata kommunia,2011,In,0
95,Lower,Female,d. Avannaata kommunia,2011,In,0
95,Upper,Female,d. Avannaata kommunia,2011,In,0
96,Lower,Female,d. Avannaata kommunia,2011,In,0
96,Upper,Female,d. Avannaata kommunia,2011,In,0
97,Lower,Female,d. Avannaata kommunia,2011,In,0
97,Upper,Female,d. Avannaata kommunia,2011,In,0
98,Lower,Female,d. Avannaata kommunia,2011,In,0
98,Upper,Female,d. Avannaata kommunia,2011,In,0
99,Lower,Female,d. Avannaata kommunia,2011,In,0
99,Upper,Female,d. Avannaata kommunia,2011,In,0
100+,Lower,Female,d. Avannaata kommunia,2011,In,0
100+,Upper,Female,d. Avannaata kommunia,2011,In,0
0,Lower,Male,d. Avannaata kommunia,2011,In,5
0,Upper,Male,d. Avannaata kommunia,2011,In,5
1,Lower,Male,d. Avannaata kommunia,2011,In,5
1,Upper,Male,d. Avannaata kommunia,2011,In,7
2,Lower,Male,d. Avannaata kommunia,2011,In,4
2,Upper,Male,d. Avannaata kommunia,2011,In,2
3,Lower,Male,d. Avannaata kommunia,2011,In,6
3,Upper,Male,d. Avannaata kommunia,2011,In,3
4,Lower,Male,d. Avannaata kommunia,2011,In,4
4,Upper,Male,d. Avannaata kommunia,2011,In,4
5,Lower,Male,d. Avannaata kommunia,2011,In,1
5,Upper,Male,d. Avannaata kommunia,2011,In,4
6,Lower,Male,d. Avannaata kommunia,2011,In,7
6,Upper,Male,d. Avannaata kommunia,2011,In,5
7,Lower,Male,d. Avannaata kommunia,2011,In,8
7,Upper,Male,d. Avannaata kommunia,2011,In,1
8,Lower,Male,d. Avannaata kommunia,2011,In,4
8,Upper,Male,d. Avannaata kommunia,2011,In,2
9,Lower,Male,d. Avannaata kommunia,2011,In,1
9,Upper,Male,d. Avannaata kommunia,2011,In,1
10,Lower,Male,d. Avannaata kommunia,2011,In,3
10,Upper,Male,d. Avannaata kommunia,2011,In,1
11,Lower,Male,d. Avannaata kommunia,2011,In,1
11,Upper,Male,d. Avannaata kommunia,2011,In,0
12,Lower,Male,d. Avannaata kommunia,2011,In,3
12,Upper,Male,d. Avannaata kommunia,2011,In,4
13,Lower,Male,d. Avannaata kommunia,2011,In,2
