age,sex,time,count
7,Female,2011,394
8,Female,2011,374
9,Female,2011,441
10,Female,2011,409
11,Female,2011,397
12,Female,2011,420
13,Female,2011,412
14,Female,2011,467
15,Female,2011,430
16,Female,2011,360
17,Female,2011,459
18,Female,2011,449
19,Female,2011,497
20,Female,2011,477
21,Female,2011,469
22,Female,2011,450
23,Female,2011,474
24,Female,2011,427
25,Female,2011,405
26,Female,2011,414
27,Female,2011,397
28,Female,2011,370
29,Female,2011,405
30,Female,2011,422
31,Female,2011,380
32,Female,2011,358
33,Female,2011,314
34,Female,2011,307
35,Female,2011,304
36,Female,2011,304
37,Female,2011,254
38,Female,2011,275
39,Female,2011,299
40,Female,2011,315
41,Female,2011,322
42,Female,2011,398
43,Female,2011,487
44,Female,2011,485
45,Female,2011,552
46,Female,2011,480
47,Female,2011,540
48,Female,2011,494
49,Female,2011,443
50,Female,2011,490
51,Female,2011,419
52,Female,2011,386
53,Female,2011,375
54,Female,2011,334
55,Female,2011,341
56,Female,2011,299
57,Female,2011,294
58,Female,2011,277
59,Female,2011,236
60,Female,2011,225
61,Female,2011,260
62,Female,2011,164
63,Female,2011,134
64,Female,2011,176
65,Female,2011,164
66,Female,2011,155
67,Female,2011,160
68,Female,2011,151
69,Female,2011,169
70,Female,2011,117
71,Female,2011,134
72,Female,2011,95
73,Female,2011,80
74,Female,2011,99
75,Female,2011,78
76,Female,2011,82
77,Female,2011,71
78,Female,2011,72
79,Female,2011,56
80,Female,2011,53
81,Female,2011,56
82,Female,2011,57
83,Female,2011,32
84,Female,2011,21
85,Female,2011,22
86,Female,2011,22
87,Female,2011,17
88,Female,2011,6
89,Female,2011,6
90,Female,2011,4
91,Female,2011,1
92,Female,2011,6
93,Female,2011,1
94,Female,2011,0
95,Female,2011,3
96,Female,2011,0
97,Female,2011,1
98,Female,2011,0
99,Female,2011,0
100+,Female,2011,1
0,Male,2011,427
1,Male,2011,438
2,Male,2011,466
3,Male,2011,429
4,Male,2011,420
5,Male,2011,378
6,Male,2011,423
7,Male,2011,403
8,Male,2011,431
9,Male,2011,417
10,Male,2011,422
11,Male,2011,413
12,Male,2011,408
13,Male,2011,437
14,Male,2011,496
15,Male,2011,431
16,Male,2011,372
17,Male,2011,435
18,Male,2011,498
19,Male,2011,465
20,Male,2011,486
21,Male,2011,485
22,Male,2011,497
23,Male,2011,468
24,Male,2011,436
25,Male,2011,414
26,Male,2011,460
27,Male,2011,409
28,Male,2011,390
29,Male,2011,431
30,Male,2011,415
31,Male,2011,434
32,Male,2011,366
33,Male,2011,347
34,Male,2011,398
35,Male,2011,345
36,Male,2011,336
37,Male,2011,329
38,Male,2011,359
39,Male,2011,377
40,Male,2011,379
41,Male,2011,405
42,Male,2011,447
43,Male,2011,539
44,Male,2011,602
45,Male,2011,590
46,Male,2011,643
47,Male,2011,597
48,Male,2011,569
49,Male,2011,531
50,Male,2011,537
51,Male,2011,547
52,Male,2011,525
53,Male,2011,496
54,Male,2011,462
55,Male,2011,420
56,Male,2011,414
57,Male,2011,382
58,Male,2011,336
59,Male,2011,344
60,Male,2011,322
61,Male,2011,323
62,Male,2011,231
63,Male,2011,284
64,Male,2011,222
65,Male,2011,259
66,Male,2011,222
67,Male,2011,215
68,Male,2011,180
69,Male,2011,166
70,Male,2011,160
71,Male,2011,151
72,Male,2011,90
73,Male,2011,100
74,Male,2011,91
75,Male,2011,79
76,Male,2011,63
77,Male,2011,61
78,Male,2011,61
79,Male,2011,42
80,Male,2011,31
81,Male,2011,32
82,Male,2011,29
83,Male,2011,24
84,Male,2011,12
85,Male,2011,7
86,Male,2011,7
87,Male,2011,10
88,Male,2011,7
89,Male,2011,1
90,Male,2011,1
91,Male,2011,0
92,Male,2011,1
93,Male,2011,1
94,Male,2011,0
95,Male,2011,0
96,Male,2011,0
97,Male,2011,0
98,Male,2011,0
99,Male,2011,0
100+,Male,2011,0
0,Female,2012,382
1,Female,2012,371
2,Female,2012,400
3,Female,2012,408
4,Female,2012,366
5,Female,2012,379
6,Female,2012,406
7,Female,2012,401
8,Female,2012,394
9,Female,2012,370
10,Female,2012,442
11,Female,2012,406
12,Female,2012,388
13,Female,2012,412
14,Female,2012,402
15,Female,2012,436
